date,id,England,Wales,Scotland,Northern Ireland,Variant,Event England,Direction England,Icon England,Event Wales,Direction Wales,Icon Wales,Event Scotland,Direction Scotland,Icon Scotland,Event Northern Ireland,Direction Northern Ireland,Icon Northern Ireland,Event vaccine programme,Direction vaccine programme,Icon vaccine programme
3/1/20,0,0,0,0,0.6,native,,,,,,,,,,,,,,,
3/2/20,1,0,0,0,0.6,native,,,,,,,,,,,,,,,
3/3/20,2,0,0,0,0.6,native,,,,,,,,,,,,,,,
3/4/20,3,0,0,0,0.6,native,,,,,,,,,,,,,,,
3/5/20,4,0,0,0,0.7,native,,,,,,,,,,,,,,,
3/6/20,5,0,0,0,0.8,native,,,,,,,,,,,,,,,
3/7/20,6,0,0,0,0.8,native,,,,,,,,,,,,,,,
3/8/20,7,0,0,0,0.8,native,,,,,,,,,,,,,,,
3/9/20,8,0,0,0,0.9,native,,,,,,,,,,,,,,,
3/10/20,9,0,0,0,1.1,native,,,,,,,,,,,,,,,
3/11/20,10,0,0,0,1.3,native,,,,,,,,,,,,,,,
3/12/20,11,0,0,0,1.5,native,,,,,,,,,,,,,,,
3/13/20,12,0,0,0,1.5,native,,,,,,,,,,,,,,,
3/14/20,13,0,0,0,1.6,native,,,,,,,,,,,,,,,
3/15/20,14,0,0,0,1.6,native,,,,,,,,,,,,,,,
3/16/20,15,0,0,0,1.8,native,non-essential contact and travel advice,closed,travel,non-essential contact and travel advice,closed,travel,non-essential contact and travel advice,closed,travel,non-essential contact and travel advice,closed,travel,,,
3/17/20,16,0,0,0,2,native,,,,,,,,,,,,,,,
3/18/20,17,0,0,0,2.3,native,,,,,,,,,,,,,,,
3/19/20,18,0,0,0,2.3,native,,,,,,,,,,,,,,,
3/20/20,19,2.8,0,0,3,native,,,,,,,,,,,,,,,
3/21/20,20,3.8,0,0,3.7,native,,,,,,,,,,,,,,,
3/22/20,21,4.7,0,0,4.1,native,,,,,,,,,,,,,,,
3/23/20,22,5.6,3.5,0,4.6,native,first UK lockdown,closed,lockdown,first UK lockdown,closed,lockdown,first UK lockdown,closed,lockdown,first UK lockdown,closed,lockdown,,,
3/24/20,23,6.4,4.7,0,5,native,,,,,,,,,,,,,,,
3/25/20,24,7.8,5.9,0,6.1,native,,,,,,,,,,,,,,,
