date,England,Wales,Northern Ireland,Scotland,Variant
10/05/20,0.27,,,,native
17/05/20,0.25,,,,native
24/05/20,0.24,,,,native
30/05/20,0.1,,,,native
07/06/20,0.06,,,,native
13/06/20,0.06,,,,native
21/06/20,0.09,,,,native
27/06/20,0.04,,,,native
05/07/20,0.03,,,,native
12/07/20,0.04,,,,native
19/07/20,0.05,,,,native
26/07/20,0.07,,,,native
02/08/20,0.05,0.05,,,native
09/08/20,0.05,0.05,,,native
13/08/20,0.05,0.04,,,native
20/08/20,0.05,0.04,,,native
25/08/20,0.05,0.05,,,native
05/09/20,0.07,0.04,,,native
10/09/20,0.11,0.05,,,native
19/09/20,0.19,0.35,,,native
24/09/20,0.21,0.21,0.26,,native
01/10/20,0.41,0.2,0.22,,native
08/10/20,0.62,0.26,0.41,,native
16/10/20,0.79,0.55,1.01,0.57,native
23/10/20,1.04,0.86,1.32,0.71,native
31/10/20,1.13,0.89,1.36,0.9,native
06/11/20,1.2,1.16,0.97,0.75,native
14/11/20,1.22,0.61,0.74,0.64,native
21/11/20,1.16,0.54,0.69,0.87,native
28/11/20,0.96,0.6,0.52,0.78,native
05/12/20,0.88,0.84,0.43,0.82,alpha
12/12/20,1.04,1.1,0.47,1,alpha
18/12/20,1.18,1.72,0.55,0.71,alpha
23/12/20,1.47,1.91,0.43,0.69,alpha
02/01/21,2.06,1.45,0.5,0.87,alpha
09/01/21,2.08,1.45,1.2,1.06,alpha
16/01/21,1.88,1.45,1.6,0.99,alpha
23/01/21,1.87,1.43,2.01,0.92,alpha
30/01/21,1.55,1.4,1.56,0.88,alpha
06/02/21,1.28,1.16,1.33,0.67,alpha
12/02/21,0.88,0.81,0.97,0.55,alpha
19/02/21,0.69,0.48,0.52,0.45,alpha
27/02/21,0.45,0.35,0.31,0.3,alpha
06/03/21,0.37,0.27,0.32,0.31,alpha
13/03/21,0.29,0.23,0.32,0.37,alpha
20/03/21,0.3,0.22,0.32,0.41,alpha
27/03/21,0.27,0.18,0.45,0.32,alpha
03/04/21,0.3,0.12,0.33,0.25,alpha
10/04/21,0.21,0.11,0.14,0.2,alpha
16/04/21,0.17,0.12,0.15,0.18,alpha
24/04/21,0.1,0.06,0.11,0.16,alpha
02/05/21,0.08,0.05,0.13,0.13,alpha
08/05/21,0.07,0.02,0.07,0.08,alpha
15/05/21,0.09,0.02,0.06,0.05,alpha
22/05/21,0.09,0.03,0.12,0.16,alpha
29/05/21,0.16,0.1,0.12,0.15,alpha
05/06/21,0.18,0.08,0.14,0.18,delta
12/06/21,0.19,0.07,0.16,0.17,delta
19/06/21,0.22,0.12,0.14,0.46,delta
26/06/21,0.39,0.22,0.15,0.68,delta
03/07/21,0.61,0.3,0.33,1.01,delta
10/07/21,1.06,0.28,0.34,1.14,delta
17/07/21,1.36,0.47,0.59,1.24,delta
24/07/21,1.57,0.62,1.48,0.94,delta
31/07/21,1.32,0.43,1.87,0.82,delta
06/08/21,1.33,0.46,1.88,0.53,delta
14/08/21,1.28,0.77,1.92,0.49,delta
20/08/21,1.39,0.83,2.36,0.7,delta
27/08/21,1.41,0.92,1.56,1.32,delta
03/09/21,1.38,1.54,1.74,2.23,delta
11/09/21,1.28,1.62,1.36,2.29,delta
18/09/21,1.14,1.67,1.65,2.28,delta
25/09/21,1.21,1.76,1.53,1.85,delta
02/10/21,1.44,1.87,0.79,1.61,delta
09/10/21,1.63,2.18,0.82,1.26,delta
16/10/21,1.79,2.31,0.76,1.14,delta
22/10/21,2.02,2.56,1.31,1.36,delta
30/10/21,2.02,2.39,1.49,1.25,delta
06/11/21,1.7,2.13,1.35,1.18,delta
13/11/21,1.51,1.84,1.53,1.06,delta
20/11/21,1.58,1.95,2.03,1.44,delta
27/11/21,1.65,2.11,2.24,1.58,delta
01/12/21,1.64,1.98,2.14,1.24,Omicron BA.1
11/12/21,1.72,1.85,2.02,1.27,Omicron BA.1
16/12/21,2.21,1.79,2.06,1.45,Omicron BA.1
19/12/21,2.83,2.3,2.45,1.5,Omicron BA.1
23/12/21,3.71,2.52,2.59,2.57,Omicron BA.1
31/12/21,6,5.2,3.97,4.52,Omicron BA.1
06/01/22,6.85,5.56,5.41,5.65,Omicron BA.1
15/01/22,5.47,3.69,5.68,4.49,Omicron BA.1
22/01/22,4.82,3.27,5.26,3.11,Omicron BA.1
29/01/22,4.83,4.57,7.43,3.52,Omicron BA.1
05/02/22,5.18,3.99,7.93,4.01,Omicron BA.2
12/02/22,4.49,3.71,7.99,4.17,Omicron BA.2
19/02/22,3.84,3.23,7.23,4.57,Omicron BA.2
26/02/22,3.55,3.1,5.79,5.33,Omicron BA.2
05/03/22,3.8,3.22,7.84,5.7,Omicron BA.2
12/03/22,4.87,4.13,7.12,7.15,Omicron BA.2
19/03/22,6.39,6.35,5.92,9,Omicron BA.2
26/03/22,7.56,6.97,6.7,8.57,Omicron BA.2
