England,Wales,Scotland,Northern Ireland,England EventType,Wales EventType,Scotland EventType,Northern Ireland EventType
16/03/20,16/03/20,16/03/20,16/03/20,1,1,1,1
23/03/20,23/03/20,23/03/20,23/03/20,1,1,1,1
26/03/20,26/03/20,26/03/20,28/03/20,1,1,1,1
16/04/20,08/04/20,16/04/20,15/04/20,1,1,1,1
01/06/20,29/06/20,11/08/20,24/08/20,1,1,1,1
15/06/20,22/06/20,29/06/20,08/06/20,1,1,1,1
,13/07/20,06/07/20,,,1,1,
14/08/20,03/08/20,,,1,1,,
14/09/20,14/09/20,,,1,1,,
26/09/20,24/09/20,25/09/20,30/09/20,1,1,1,1
14/10/20,,09/10/20,,1,,1,
24/11/20,24/11/20,24/11/20,24/11/20,1,1,1,1
08/12/20,08/12/20,08/12/20,08/12/20,2,2,2,2
12/04/21,12/04/21,05/04/21,30/04/21,1,1,1,1
10/05/21,10/05/21,10/05/21,10/05/21,1,1,1,1
17/05/21,17/05/21,,,1,1,,
14/06/21,17/06/21,22/06/21,17/06/21,1,1,1,1
30/06/21,30/06/21,30/06/21,30/06/21,2,2,2,2
,17/07/21,19/07/21,,,1,1,
,05/08/21,09/08/21,,,1,1,
13/09/21,13/09/21,13/09/21,13/09/21,2,2,2,2
,11/10/21,,29/11/21,,1,,1
,15/11/21,,13/12/21,,1,,1
13/12/21,13/12/21,13/12/21,13/12/21,2,2,2,2
,26/12/21,,27/12/21,,1,,1
,,27/12/21,26/12/21,,,1,1
17/01/22,28/02/22,18/04/22,,1,1,1,
,17/02/22,,27/01/22,,1,,1
